Term,Document Frequency,Postings Lists
البنى,1,7
البنية,1,19
البنيوي,1,3
البنيوية,1,3
البيئة,3,13 - 17 - 20
البيئية,1,15
البيان,1,16
البيانات,19,1 - 2 - 3 - 4 - 5 - 6 - 8 - 9 - 10 - 11 - 12 - 13 - 14 - 15 - 16 - 17 - 18 - 19 - 20
البيوت,1,1
البيولوجي,1,13
البيولوجيا,2,3 - 15
البيولوجية,1,12
التأثير,2,7 - 21
التأخر,1,21
التأسيس,1,4
التأسيسية,1,20
التأكد,2,15 - 20
التأكيد,1,2
التأهيل,2,1 - 3
التأهيل48,1,4
التابع,1,17
التاريخ,2,2 - 15
التاريخي,1,7
التالعب,1,2
التالل,1,4
التالي,1,21
التالية,2,4 - 8
التام,2,1 - 3
التبني,1,8
التتبع,1,13
التجارة,1,17
التجاري,1,2
التجارية,3,8 - 10 - 11
التجربة,5,4 - 6 - 8 - 17 - 21
التجريبي,1,11
التجريبية,1,14
التح,1,1
التحاليل,1,17
التحايل,1,20
التحتية,2,7 - 19
التحدث,3,1 - 3 - 21
التحدي,1,19
التحديات,2,15 - 21
التحديد,1,11
التحسن,1,4
التحسين,2,3 - 4
التحضير,1,19
التحقق,2,3 - 19
التحكم,4,2 - 3 - 4 - 18
التحكمعدل,1,4
التحليل,6,1 - 3 - 4 - 7 - 16 - 19
التحليلات,1,11
التحليلية,1,2
التحول,4,7 - 11 - 14 - 15
التحولات,1,15
التحيز,1,16
التحيزات,1,15
التخصص,1,2
التخصصي,1,19
التخصصية,1,19
التخصيص,2,4 - 5
التخطيط,3,1 - 3 - 4
التخطيطية,1,4
التخمين,1,4
التخمينات,1,4
التدريب,3,11 - 19 - 20
التدريجي,2,1 - 3
التدريس,2,19 - 20
الترابطات,1,12
الترابطية,1,12
التراث,1,15
الترجمة,3,1 - 3 - 13
التركيز,3,2 - 20 - 21
التساؤل,1,21
التساؤلات,1,13
التسارع,1,21
التسعينيات,4,2 - 3 - 4 - 17
التسعينيات90,1,3
التسلسل,1,4
التسويق,1,9
التشاؤم,1,21
التشابه,1,3
التشخيص,3,4 - 17 - 21
التشرذم,1,15
التشغيل,1,20
التشغيلية,1,6
التشيكي,1,18
التصحيح,1,20
التصرف,2,15 - 18
التصريح,1,13
التصنيع,2,9 - 19
التصنيف,3,1 - 3 - 4
التصنيفية,2,1 - 3
التصور,2,3 - 4
التصيدية,1,20
التطبيق,2,12 - 18
التطبيقات,8,1 - 3 - 4 - 9 - 10 - 13 - 16 - 21
التطور,7,4 - 8 - 10 - 14 - 17 - 18 - 21
التطورات,5,6 - 13 - 14 - 15 - 19
التطورية,3,1 - 3 - 4
التطوير,2,6 - 20
التطويرات,1,20
التعامل,5,1 - 3 - 13 - 19 - 20
التعاون,5,1 - 3 - 12 - 19 - 20
التعبير,2,4 - 15
التعرض,1,7
التعرف,8,1 - 3 - 5 - 8 - 13 - 14 - 17 - 20
التعريف,2,2 - 8
التعريفات,2,2 - 4
التعقيد,3,4 - 5 - 15
التعلم,15,1 - 2 - 3 - 4 - 5 - 6 - 11 - 12 - 13 - 14 - 16 - 18 - 19 - 20 - 21
التعلمعدل,1,3
التعليم,4,4 - 6 - 19 - 20
التعليمات,2,16 - 21
التعليمالطريقة,1,15
التعليمي,1,19
التعليمية,3,15 - 19 - 20
التغذية,1,19
التغلب,2,3 - 17
التغير,2,14 - 15
التغيير,1,1
التغييرعدل,1,3
التفاؤل,2,2 - 17
التفاصيل,1,13
التفاعل,2,1 - 3
التفاعلية,2,18 - 21
التفاوض,2,18 - 21
التفسير,1,13
التفصيلية,1,10
التفكير,9,1 - 2 - 3 - 4 - 8 - 13 - 15 - 17 - 18
التفوق,2,9 - 20
التقارير,1,15
التقاليد,1,3
التقدم,9,1 - 3 - 4 - 6 - 7 - 15 - 17 - 20 - 21
التقديرات,1,13
التقريبي,1,4
التقريبية,1,3
التقرير,3,10 - 13 - 16
التقليد,1,3
التقليدي,3,3 - 19 - 20
التقليدية,3,18 - 20 - 21
التقليل,1,21
التقنيات,8,9 - 10 - 15 - 17 - 18 - 19 - 20 - 21
التقنية,6,2 - 4 - 11 - 16 - 19 - 20
التقنيين,2,10 - 11
التقويمي,2,1 - 3
التقييمات,1,16
التكاليف,1,10
التكلفة,3,9 - 17 - 20
التكنولوجي,4,8 - 14 - 15 - 21
التكنولوجيا,7,2 - 4 - 7 - 10 - 11 - 16 - 21
التكنولوجيات,1,15
التكنولوجية,3,14 - 15 - 21
التكنولوجيين,1,16
التكهن,1,4
التكهنات,1,4
التكوين,1,4
التكوين64,1,4
التكيف,3,2 - 13 - 14
التل,1,4
التلاميذ,2,19 - 20
التماثلية,1,12
التماثيل,1,4
التمثيل,2,1 - 3
التمويل,2,2 - 6
التمييز,1,16
التنافسي,1,4
التنافسية,1,10
التنبؤ,6,1 - 3 - 6 - 7 - 13 - 20
التنبؤات,1,5
التنظيم,2,13 - 14
التنظيمية,1,16
التنفيذ,1,4
التنمية,4,15 - 19 - 20 - 21
التنوع,3,10 - 11 - 12
التنوعيشير,1,11
التهم,1,21
التواصل,2,5 - 17
التوالي,1,7
التوترات,1,7
التوجيه,3,6 - 11 - 21
التوجيهي,1,15
التوجيهية,1,8
التوريد,1,9
التوسع,2,6 - 13
التوصل,3,1 - 3 - 4
التوصيات,2,17 - 18
التوظيف,2,7 - 11
التوقع,1,20
التوقعات,2,4 - 11
التوليدي,2,16 - 20
الثالث,2,3 - 18
الثالثة,3,3 - 8 - 9
الثاني,4,18 - 19 - 20 - 21
الثانية,1,20
الثدي,1,16
الثغرات,1,20
الثقافة,1,15
الثقافية,1,11
الثقة,2,7 - 12
الثلاث,1,11
الثلاثة,1,10
الثمانينيات,6,1 - 2 - 3 - 4 - 6 - 17
الثمانينيات7879,1,3
الثمانينيات87,1,3
الثورة,2,3 - 15
الجاري,1,15
الجارية,1,13
الجامدة,1,21
الجامعات,2,11 - 19
الجامعي,1,19
الجاهزة,2,10 - 21
الجبر,1,2
الجدد,1,11
الجدوى,1,4
الجديد,3,10 - 13 - 17
الجديدة,7,4 - 6 - 10 - 12 - 13 - 14 - 15
الجديدعدل,1,3
الجذابة,1,21
الجذب,1,4
الجرائم,1,20
الجسد,1,17
الجسيمات,1,4
الجغرافي,1,19
الجليد,1,14
الجمع,1,19
الجمعي,2,19 - 20
الجمعيات,1,12
الجمعية,2,3 - 13
الجمل,1,2
الجملة,2,2 - 4
الجميع,1,20
الجنس,1,16
الجنسين,2,12 - 15
الجهات,1,15
الجهاز,2,2 - 13
الجهة,1,20
الجهود,1,13
الجوانب,1,18
الجودة,3,10 - 13 - 19
الجوية,2,3 - 20
الجيد,1,3
الجينوم,1,15
الجينية,1,4
الجينية100101,1,4
الحاالت,1,7
الحاجة,3,13 - 19 - 20
الحادي,2,15 - 17
الحاسب,1,2
الحاسبات,1,19
الحاسوب,5,2 - 16 - 17 - 19 - 21
الحاسوبية,2,8 - 9
الحاضر,1,19
الحال,4,1 - 3 - 18 - 21
الحالة,3,4 - 13 - 20
الحالي,6,1 - 3 - 4 - 8 - 10 - 21
الحثيثة,1,21
الحد,1,13
الحدث,1,4
الحدود,1,15
الحديث,7,1 - 2 - 3 - 4 - 6 - 14 - 21
الحديثة,5,2 - 4 - 6 - 19 - 20
الحديثة11,1,2
الحديثين,1,8
الحركات,1,13
الحركة,2,1 - 3
الحركي,1,4
الحركية,2,1 - 3
الحساب,2,2 - 4
الحسابات,2,8 - 20
الحسابي,4,1 - 2 - 3 - 13
الحسابي88,1,3
الحسابية,3,1 - 3 - 4
الحسنة,2,1 - 3
الحسي,2,1 - 3
الحصول,1,20
الحضارة,1,15
الحضور,1,2
الحقائق,2,1 - 3
الحقوق,2,13 - 15
الحقيقة,2,1 - 21
الحقيقي,3,4 - 8 - 17
الحقيقية,2,17 - 21
الحكاية,1,8
الحكومات,2,2 - 21
الحكومتان,1,2
الحل,1,4
الحل96,1,4
الحلم,1,13
الحلول,4,1 - 3 - 4 - 15
الحوادث,1,17
الحوار,1,15
الحواسيب,5,1 - 3 - 4 - 8 - 18
الحوسبة,4,6 - 14 - 18 - 20
الحياة,4,3 - 4 - 18 - 20
الحين,1,8
الحيوانات,1,17
الحيوية,2,14 - 21
الخادمة,1,20
الخارجية,1,2
الخارق,3,4 - 8 - 18
الخارقة,1,4
الخاص,4,3 - 15 - 19 - 21
الخاصة,8,1 - 3 - 5 - 8 - 14 - 19 - 20 - 21
الخبراء,5,2 - 16 - 17 - 19 - 20
الخبرات,3,2 - 19 - 20
الخبرة,3,4 - 15 - 19
الخبيثة,1,20
الخبيرة,4,2 - 3 - 4 - 14
الختبار,2,4 - 8
الخدمات,2,19 - 20
الخرائط,3,1 - 3 - 15
الخروج,1,7
الخصائص,1,4
الخصوص,2,14 - 16
الخصوصية,2,10 - 15
الخطأ,2,12 - 21
الخطة,1,21
الخطط,1,13
الخطوات,1,4
الخطورة,1,13
الخطيرة,1,13
الخفي,1,4
الخلايا,3,12 - 14 - 17
الخلفي,1,12
الخلفيات,1,15
الخلفية85,1,3
الخمس,1,9
الخمسة,1,10
الخمسين,1,8
الخمسينيات,1,3
الخوارزميات,9,1 - 3 - 4 - 5 - 8 - 15 - 16 - 20 - 21
الخوارزميات74,1,3
الخوارزمية,2,6 - 20
الخيار,1,11
الخيارات,4,1 - 3 - 4 - 21
الخيال,4,1 - 4 - 8 - 18
الدائمة,1,5
الدارات,1,20
الدارسين,1,19
الدافع,1,14
الدالالت,1,4
الدالة,1,4
الداما,1,4
الدخل,1,7
الدراسات,4,7 - 9 - 17 - 19
الدراسة,2,9 - 12
الدراسي,1,19
الدراسية,1,19
الدرجة,2,4 - 19
الدردشة,5,12 - 13 - 16 - 20 - 21
الدروس,1,19
الدعم,1,19
الدعوات,1,13
الدفاع,2,2 - 21
الدفاعية,1,6
الدفع,1,21
الدقة,1,13
الدقيقة,1,13
الدكاء,1,19
الدلالات,1,11
الدليل,1,4
الدماغ,5,1 - 2 - 3 - 17 - 20
الدماغعدل,1,3
الدوائر,3,12 - 14 - 15
الدوافع,1,13
الدور,2,11 - 16
الدورات,1,19
الدول,3,15 - 19 - 21
الدولارات,1,20
الدولي,2,7 - 15
الدولية,2,15 - 20
الديكتاتور,1,4
الديمقراطي,1,15
الديموغرافية,1,5
الديناميكية,1,4
الذاتي,6,11 - 13 - 14 - 18 - 19 - 20
الذاتية,2,17 - 20
الذاكرة,4,1 - 3 - 17 - 18
الذرة,2,1 - 3
الذكاء,21,1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 11 - 12 - 13 - 14 - 15 - 16 - 17 - 18 - 19 - 20 - 21
الذكاءاالصطناعي,1,4
الذكر,1,17
الذكي,7,1 - 2 - 3 - 4 - 17 - 18 - 19
الذكي70,1,3
الذكية,9,1 - 2 - 3 - 4 - 6 - 16 - 17 - 18 - 20
الذكية7,1,2
الذهاب,1,18
الذهبية,1,4
الذهنية,1,19
الرأسمالية,1,7
الرأي,1,2
الرؤية,2,3 - 9
الرئيس,1,21
الرئيسة,2,3 - 4
الرئيسي,3,5 - 6 - 18
الرئيسية,6,1 - 2 - 3 - 4 - 14 - 15
الرائدة,4,9 - 10 - 11 - 12
الرابعة,1,20
الرامية,2,11 - 13
الرجال,1,8
الرجوع,1,21
الرحلات,1,20
الرد,1,17
الرزق,1,7
الرسائل,2,16 - 20
الرسالة,1,20
الرسمية,1,3
الرسومات,2,14 - 20
الرعاية,1,17
الرغبة,2,4 - 13
الرغم,6,3 - 4 - 5 - 12 - 13 - 17
الرقمي,4,2 - 15 - 17 - 21
الرقمية,8,3 - 4 - 10 - 11 - 15 - 16 - 19 - 20
الرقمية103,1,4
الركاب,1,20
الركب,1,7
الركيزة,1,5
الرمزي,3,1 - 3 - 4
الرمزية,2,1 - 3
الرمزيعدل,1,3
الرمزيغير,1,3
الرموز,2,2 - 12
الرموز28,1,2
الروابط,2,19 - 20
الروايات,1,4
الروبوت,4,4 - 17 - 19 - 21
الروبوتات,6,1 - 3 - 15 - 17 - 19 - 21
الروبوتيات,3,1 - 3 - 4
الروبوتية,2,4 - 9
الروتينية,2,7 - 17
الروح,1,13
الرياضي,2,1 - 3
الرياضيات,7,3 - 4 - 5 - 12 - 14 - 17 - 19
الرياضية,3,3 - 4 - 19
الزمان,2,19 - 20
الزمن,2,4 - 8
الزمنية,2,3 - 4
الزيادة,1,10
السائل,1,17
السابق,7,1 - 3 - 4 - 5 - 6 - 20 - 21
السابقة,8,4 - 5 - 6 - 11 - 12 - 16 - 18 - 20
الساحة,2,4 - 21
الساذج,1,4
الساعة,1,6
السببي,1,4
السبيل,1,12
الست,1,17
الستخالص,2,1 - 3
الستخلص,1,5
الستربس,1,4
الستطالع,1,1
الستينيات,2,2 - 4
السحابية,2,6 - 20
السربى,1,1
السربى57,1,3
السربي,1,4
السرطان,1,5
السريري,1,17
السريع,4,7 - 13 - 16 - 21
السطح,1,14
السعي,1,14
السفر,1,19
السفلية,1,14
السقف,1,20
السلامة,1,13
السلوك,3,1 - 3 - 8
السلوكيات,1,18
السمات,1,8
السماح,2,4 - 6
السناب,1,16
السنة,1,5
السنوات,7,8 - 9 - 11 - 12 - 17 - 18 - 21
السنوية,1,16
السهولة,1,10
السوق,2,2 - 17
السيئة,2,1 - 3
السيارات,3,4 - 13 - 17
السيارة,1,19
السياسات,2,7 - 15
السياسة,1,13
السياسية,1,21
السياسيون,1,21
السياق,4,1 - 3 - 11 - 14
السياقات,1,17
السيبراني,1,21
السيبرنطيقية,1,3
السير,1,2
السيناريوهات,3,4 - 7 - 16
السينما,1,1
السينية,1,5
الشأن,1,21
الشأن155,1,4
الشؤون,1,14
الشائع,1,19
الشباب,1,15
الشبكات,8,1 - 3 - 4 - 12 - 13 - 14 - 17 - 20
الشبكة,6,3 - 4 - 12 - 13 - 14 - 21
الشبه,2,1 - 3
الشحن,1,20
الشخص,1,17
الشخصية,3,10 - 19 - 20
الشديد,2,5 - 21
الشديدة,1,17
الشراء,3,16 - 17 - 20
الشرح,1,19
الشركات,11,5 - 7 - 8 - 9 - 10 - 11 - 12 - 15 - 19 - 20 - 21
الشركة,5,5 - 10 - 13 - 16 - 20
الشروط,2,4 - 19
الشريحة,1,11
الشطرنج,7,3 - 4 - 5 - 6 - 13 - 17 - 18
الشعاع,1,4
الشعاعية,1,4
الشعور,4,4 - 18 - 19 - 20
الشفافية,1,13
الشكل,1,11
الشكوك,1,12
الشهر,1,16
الشهرة,1,16
الشهيرة,1,17
الشواغر,1,10
الشيء,6,1 - 3 - 8 - 14 - 17 - 19
الصاعدة,1,7
الصالح,1,15
الصحة,1,19
الصحفي,1,14
الصحية,3,17 - 19 - 21
الصحيح,1,16
الصحيحة,2,2 - 20
الصراع,1,21
الصعب,1,8
الصعبة,2,1 - 3
الصعوبات,1,17
الصعوبة,2,10 - 11
الصعيد,1,13
الصغيرة,1,20
الصف,1,19
الصفر,1,20
الصلب,1,4
الصلة,4,1 - 3 - 11 - 15
الصناعات,1,16
الصناعة,2,4 - 17
الصناعي,3,17 - 19 - 20
الصواريخ,1,21
الصوت,1,17
الصوتية,2,16 - 20
الصودا,1,17
الصور,7,4 - 5 - 6 - 13 - 15 - 18 - 20
الصورة,1,15
الصينية,1,2
الضحايا,1,20
الضخمة,6,8 - 13 - 15 - 17 - 19 - 20
الضرورة,2,1 - 3
الضروري,3,7 - 13 - 15
الضرورية,2,2 - 17
الضعف,2,9 - 11
الضعيف,2,8 - 20
الضغط,1,19
الضمير,1,15
الضو,1,1
الضوء,2,10 - 16
الضيق,3,3 - 8 - 17
الطاقة,1,8
الطالب,1,19
الطاولة,2,1 - 3
الطب,4,16 - 17 - 19 - 21
الطبقات,2,4 - 14
الطبقة,1,14
الطبي,4,2 - 4 - 6 - 17
الطبية,4,14 - 19 - 20 - 21
الطبيعي,2,3 - 15
الطبيعية,5,1 - 3 - 4 - 9 - 17
الطراز,1,3
الطرح,1,21
الطرف,1,20
الطرق,4,4 - 8 - 15 - 18
الطريق,1,4
الطريقة,4,2 - 5 - 12 - 14
الطقس,1,20
الطلاب,2,19 - 20
الطلب,2,4 - 7
الطلبة,1,19
الطليق,1,4
الطويل,2,14 - 15
الطيور,2,1 - 3
الظاهرتان,1,7
الظروف,1,18
العابر,1,21
العادة,1,18
العادي,3,1 - 3 - 19
العادية,2,19 - 20
العاطفي,1,18
العاطفية,3,1 - 3 - 19
العال,1,3
العالقات,1,4
العالقة,1,3
العالم,15,1 - 3 - 4 - 5 - 6 - 7 - 8 - 13 - 14 - 15 - 16 - 17 - 18 - 19 - 21
العالمي,4,4 - 7 - 15 - 19
العالمية,5,7 - 15 - 18 - 19 - 21
العالميزار,1,12
العالميين,1,15
العالي,1,11
العام,15,1 - 2 - 3 - 4 - 5 - 6 - 8 - 9 - 10 - 11 - 15 - 17 - 19 - 20 - 21
العامة,5,3 - 4 - 17 - 19 - 20
العامعدل,1,3
العامل,3,1 - 3 - 4
العاملة,4,7 - 17 - 19 - 21
العاملون,2,7 - 21
العاملين,2,7 - 11
العامين,1,9
العبارة,1,13
العباري107,1,4
العثور,2,3 - 17
العدد,1,14
العددية,2,1 - 3
العديد,12,1 - 3 - 4 - 5 - 6 - 7 - 11 - 13 - 14 - 15 - 19 - 21
العربي,1,19
العربية,1,19
العسكري,1,21
العسكرية,2,20 - 21
العشرات,1,16
العشرين,3,2 - 6 - 17
العشرينيات,1,12
العشوائي97,1,4
العصبونية,1,20
العصبي,1,13
العصبية,7,1 - 3 - 4 - 12 - 13 - 14 - 17
العصبيةعدل,1,4
العصر,1,6
العظمى,1,21
العقبات,1,20
العقد,2,4 - 17
العقدة,1,13
العقل,6,1 - 2 - 3 - 18 - 19 - 21
العقل34,1,2
العقول,5,1 - 3 - 4 - 8 - 17
العكس,1,7
العلم,1,18
العلماء,6,2 - 6 - 16 - 17 - 18 - 21
العلمي,8,1 - 3 - 4 - 8 - 17 - 18 - 19 - 20
العلمية,5,2 - 4 - 14 - 15 - 19
العلوم,4,1 - 3 - 15 - 19
العمالء,2,2 - 6
العمالة,1,4
العمالقة,1,8
العمل,16,1 - 2 - 3 - 4 - 6 - 7 - 10 - 12 - 13 - 14 - 15 - 17 - 18 - 19 - 20 - 21
العملء,1,5
العملاء,2,17 - 20
العملاقة,1,20
العملي,2,12 - 13
العمليات,8,3 - 4 - 5 - 8 - 9 - 10 - 19 - 20
العملية,5,11 - 14 - 18 - 19 - 20
العميق,6,4 - 5 - 6 - 13 - 14 - 20
العميقة,1,14
العميل,1,5
العناصر,2,6 - 20
العنان,1,21
العنصر,2,6 - 21
العنصرية,1,16
العوائد,1,9
العواطف,2,1 - 3
العوامل,5,1 - 3 - 4 - 10 - 20
العوامل91,1,3
العودة,1,20
العينان,1,20
الغائية,1,3
الغالب,1,7
الغامضة,1,12
الغاية,1,21
الغرفة,1,2
الـ,2,18 - 21
الفئة,2,4 - 20
الفائدة,2,1 - 3
الفائق,3,3 - 8 - 17
الفائقة,1,8
الفارغة,1,17
الفاعلة,1,15
الفتة,1,7
الفترة,3,6 - 16 - 20
الفجوات,2,15 - 19
الفجوة,2,10 - 11
الفحوصات,1,17
الفرد,1,19
الفرص,4,7 - 8 - 20 - 21
الفرصة,1,19
الفرضيات,1,21
الفرعي,2,1 - 3
الفرعية,5,1 - 2 - 3 - 5 - 18
الفرق,2,9 - 18
الفصل,1,19
الفصول,1,19
الفضاء,1,21
الفضائية,1,20
الفعل,1,19
الفعلي,1,6
الفكر,1,3
الفكرة,3,4 - 12 - 14
الفكرية,2,13 - 20
الفلسفة,3,1 - 2 - 3
الفلسفي,2,1 - 3
الفلسفية,1,1
الفني,2,1 - 3
الفنية,2,1 - 13
الفنيين,1,19
الفهم,3,14 - 15 - 19
الفوائد,3,8 - 9 - 10
الفوارق,1,12
الفوز,1,6
الفيديو,1,4
الفيديوهات,1,20
الفيكتورية,1,8
الفيلسوف,2,3 - 8
الفيلم,1,4
القائم,1,3
القائمة,4,3 - 10 - 13 - 15
القائمين,1,11
القابل,2,13 - 14
القابلة,3,4 - 8 - 10
القادرة,1,18
القادرين,1,7
القادم,1,21
القادمة,2,11 - 17
القاعدة,1,4
القانون,2,4 - 20
القانوني,1,16
القانونية,1,20
القدر,2,1 - 3
القدرات,4,1 - 3 - 19 - 20
القدرة,8,1 - 2 - 3 - 4 - 8 - 13 - 17 - 20
القدم,1,4
القدم10,1,2
القديم,1,3
القديمة,3,1 - 3 - 4
القراءة,1,19
القرار,3,1 - 3 - 4
القرارات,6,4 - 6 - 13 - 14 - 15 - 19
القراصنة,1,20
القرن,7,2 - 4 - 6 - 14 - 15 - 17 - 18
القروض,1,16
القرية,1,8
القصص,1,16
القصوى,1,7
القضاء,2,15 - 21
القضايا,2,15 - 20
القضايا73,1,3
القضية,1,4
القطاع,3,10 - 15 - 20
القطاعات,2,15 - 19
القفزات,1,4
القلق,1,13
القليل,1,16
القليلة,3,1 - 3 - 9
القمة,2,4 - 8
القناعة,1,19
القوائم,1,4
القواعد,3,13 - 16 - 18
القوالب,1,21
القوانين,2,13 - 20
القوة,4,2 - 5 - 8 - 10
القوتين,1,7
القول,5,1 - 3 - 10 - 18 - 20
القوى,3,7 - 17 - 21
القوي,4,1 - 2 - 3 - 17
القوي138,1,4
القيادة,5,4 - 8 - 13 - 17 - 20
القيام,6,2 - 3 - 13 - 17 - 18 - 20
القيم,4,4 - 15 - 19 - 20
القيمة,7,1 - 3 - 5 - 9 - 10 - 11 - 16
الكائنات,2,4 - 21
الكاتب,5,1 - 3 - 4 - 14 - 18
الكافي,2,1 - 3
الكافية,1,2
الكالم,2,1 - 3
الكامل,2,1 - 3
الكاملة,3,1 - 3 - 5
الكامنة,2,7 - 15
الكاميرات,3,1 - 3 - 18
الكبير,3,4 - 12 - 18
الكبيرة,6,2 - 3 - 8 - 10 - 19 - 21
الكتاب,1,1
الكتابة,1,17
الكتب,1,19
الكتساب,2,1 - 3
الكثيب,1,4
الكثير,8,1 - 2 - 3 - 8 - 17 - 18 - 19 - 20
الكثيرة,3,1 - 3 - 8
الكثيرون,1,17
الكرات,1,21
الكسور,1,19
الكشف,2,17 - 20
الكفاءة,2,6 - 10
الكلمات,2,3 - 4
الكلمة,1,18
الكلية,1,4
الكمبيوتر,10,1 - 2 - 3 - 4 - 5 - 6 - 8 - 14 - 19 - 21
الكمية,1,4
الكهربائية,2,4 - 12
الكواكب,1,20
الكواليس,1,2
الكوكب,1,17
الكومبيوترات,1,20
الكونغرس,1,2
الكيان,1,18
الكيانات,1,18
الكيمياء,1,4
الكيميائية,1,21
اللاحقة,1,18
اللازم,1,19
اللازمة,1,19
اللبنات,1,21
اللجنة,1,15
اللعب,1,18
اللعبة,5,1 - 3 - 4 - 14 - 18
اللغات,6,1 - 3 - 4 - 17 - 18 - 20
اللغة,8,1 - 3 - 4 - 6 - 9 - 17 - 19 - 21
اللغز,1,14
اللوجستية,2,2 - 17
اللوحية,1,18
المآزق,1,8
المأمول,2,1 - 3
المؤثر,1,14
المؤثرين,1,18
المؤسسات,6,3 - 4 - 5 - 6 - 19 - 20
المؤسسي,1,9
المؤسسين,1,8
المؤكد,1,4
المؤكدة,2,1 - 3
المؤلف,1,21
المؤلفات,2,2 - 17
المؤلفون,1,15
المؤهالت,2,1 - 3
المئة,2,16 - 19
الما,1,4
الماء,1,15
المائة,1,5
المائية,1,20
المادة,2,19 - 21
المادية,2,2 - 19
الماضي,7,4 - 5 - 10 - 11 - 14 - 16 - 18
الماضية,4,8 - 9 - 10 - 16
الماضيين,1,9
المال,1,20
المالحة,1,3
المالحظات,1,4
المالحظة,1,4
المالكة,1,20
المالمح,2,1 - 3
المالي,1,20
المالية,2,9 - 21
المانجا,1,4
الماهرة,1,7
المب,1,3
المبادئ,4,8 - 13 - 15 - 19
المبادرات,1,15
المباشرة,2,1 - 15
المبتكر,1,20
المبدأ,2,5 - 15
المبدا,1,4
المبذولة,1,13
المبرمجون,1,21
المبرمجين,2,20 - 21
المبكر,1,8
المبني,1,20
المبنية,1,20
المبيعات,1,20
المتاح,2,1 - 3
المتاحة,2,1 - 13
المتاحة54,1,3
المتبعة,1,16
المتجسد,1,3
المتحدة,3,15 - 16 - 21
المتحركة,1,4
المتخصص,1,14
المتخصصة,4,4 - 9 - 19 - 20
المتخصصةعدل,1,4
المتخصصين,1,16
المترابط,1,4
المترابطة,1,4
المتركز,1,3
المتزايد,1,15
المتسلسل,2,1 - 3
المتصلة,1,8
المتضمنة,3,1 - 3 - 4
المتطورة,1,6
المتع,1,1
المتعددة,2,4 - 21
المتعلق,1,21
المتعلقة,6,3 - 6 - 10 - 11 - 15 - 17
المتعلم,1,19
المتعلمين,2,19 - 20
المتغير,1,15
المتفاعلين,1,17
المتفوقة,1,10
المتقاربة,1,20
المتقدم,1,21
المتقدمة,3,7 - 10 - 20
المتكررة,2,6 - 20
المتكررةrelevance,1,4
المتلاصقة,1,12
المتميز,1,9
المتوافر,1,19
المتوسط,2,9 - 21
المتوسطة,1,20
المتوفرة,1,5
المتوقع,4,10 - 17 - 19 - 20
المثال,12,1 - 3 - 4 - 5 - 6 - 10 - 11 - 12 - 13 - 14 - 15 - 19
المثلى,1,4
المثيرة,1,12
المجاالت,5,1 - 2 - 3 - 4 - 6
المجال,7,2 - 6 - 9 - 15 - 17 - 18 - 21
المجال12,1,2
المجالات,4,17 - 19 - 20 - 21
المجالين,1,21
المجتمع,5,4 - 15 - 16 - 19 - 20
المجتمعات,2,4 - 21
المجرد,2,1 - 3
المجردة,1,3
المجموعات,1,4
المجموعة,1,10
المجهول,1,14
المجهولة,1,14
المحادثات,1,20
المحادثة,2,4 - 15
المحارshell,1,4
المحاسبة,1,4
المحاسبيعدل,1,3
المحاضرات,1,19
المحاكاة,2,3 - 18
المحاكية,1,12
المحامين,1,20
المحتمل,4,7 - 13 - 14 - 15
المحتملة,3,8 - 10 - 13
المحتوى,2,19 - 20
المحدد,1,19
المحددة,3,3 - 17 - 19
المحدود,1,17
المحدودة,1,18
المحرز,1,15
المحرك,1,17
المحصورة,1,14
المحض,1,7
المحققة,1,9
المحلي,1,12
المحمول,1,17
المحمولة,1,18
المحموم,1,21
المحيط,1,14
المحيطة,2,13 - 18
المخ,6,1 - 2 - 3 - 12 - 13 - 14
المخاطر,3,9 - 10 - 13
المخاطرة,1,20
المخاوف,2,1 - 18
المخبرية,1,17
المختصون,1,19
المختصين,2,9 - 19
المختلط,3,4 - 19 - 20
المختلفة,4,5 - 18 - 19 - 20
المخرجات,3,14 - 18 - 20
المخصص,1,6
المخصصة,1,18
المخطط,1,4
المخططات,1,4
المخفية,1,14
المخلوقات,1,4
المداخل,1,3
المدارس,1,19
المدخالت,2,1 - 3
المدخلات,2,14 - 18
المدرسية,1,19
المدعم125,1,4
المدمر,1,4
المدني,1,15
المدى,7,2 - 3 - 14 - 15 - 19 - 20 - 21
المذكورة,2,1 - 3
المرء,1,19
المرئية,1,17
المرات,1,20
المراحل,2,14 - 18
المراد,1,4
المراقبة,2,3 - 6
المرة,1,18
المرتب,1,1
المرتبة,1,9
المرتبطة,5,4 - 6 - 10 - 17 - 20
المرتدة,1,19
المرتفع,1,7
المرجح,2,7 - 8
المرحلة,2,4 - 18
المرسل,1,20
المرسلة,1,20
المرشحين,1,12
المرضى,2,17 - 21
المرغوب,1,20
المركبات,1,20
المركبة,1,20
المرموقة,1,11
المرن,1,2
المروري,2,17 - 18
المرونة,1,17
المريخ,1,17
المريض,1,17
المزايا,1,9
المزودة,1,18
المزيد,7,3 - 6 - 11 - 15 - 18 - 19 - 21
المزيفة,1,16
المسؤولة,3,11 - 12 - 15
المساءلة,1,15
المسائل,1,3
المسابقات,1,4
المساحة,1,14
المساعد,1,19
المساعدة,3,16 - 18 - 19
المسافة,1,3
